sample	unit	library	flowcell	platform	lane	sample_id	barcode	fq1	fq2	kb1	kb2
21N02082	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02082	21N02082-21N02082-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02082_S149_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02082_S149_L004_R2_001.fastq.gz	3152293.952	3209397.858
21N02084	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02084	21N02084-21N02084-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02084_S150_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02084_S150_L004_R2_001.fastq.gz	4140948.005	4192785.517
21N02085	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02085	21N02085-21N02085-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02085_S151_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02085_S151_L004_R2_001.fastq.gz	4784663.376	5009719.008
21N02096	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02096	21N02096-21N02096-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02096_S152_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02096_S152_L004_R2_001.fastq.gz	4566816.571	4724364.301
21N02098	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02098	21N02098-21N02098-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02098_S153_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02098_S153_L004_R2_001.fastq.gz	4694861.404	4860623.541
21N02101	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02101	21N02101-21N02101-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02101_S154_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02101_S154_L004_R2_001.fastq.gz	5309680.941	2694610.944
21N02102	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02102	21N02102-21N02102-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02102_S155_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02102_S155_L004_R2_001.fastq.gz	5716124.168	5913837.322
21N02105	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02105	21N02105-21N02105-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02105_S156_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02105_S156_L004_R2_001.fastq.gz	3832671.55	3660143.003
21N02109	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02109	21N02109-21N02109-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02109_S157_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02109_S157_L004_R2_001.fastq.gz	5533503.858	5439771.461
21N02110	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02110	21N02110-21N02110-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02110_S158_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02110_S158_L004_R2_001.fastq.gz	5399601.839	5527188.328
21N02111	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02111	21N02111-21N02111-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02111_S159_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02111_S159_L004_R2_001.fastq.gz	5666181.563	5888681.377
21N02112	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02112	21N02112-21N02112-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02112_S160_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02112_S160_L004_R2_001.fastq.gz	5255569.257	5421263.846
21N02117	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02117	21N02117-21N02117-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02117_S161_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02117_S161_L004_R2_001.fastq.gz	4633346.979	4714819.022
21N02119	1	Plate4	H7FMMDSXC	ILLUMINA	4	21N02119	21N02119-21N02119-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02119_S162_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/21N02119_S162_L004_R2_001.fastq.gz	4979281.614	4917798.433
22N04609	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04609	22N04609-22N04609-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04609_S163_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04609_S163_L004_R2_001.fastq.gz	3169681.408	4866604.301
22N04613	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04613	22N04613-22N04613-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04613_S164_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04613_S164_L004_R2_001.fastq.gz	5694381.897	5808966.524
22N04618	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04618	22N04618-22N04618-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04618_S165_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04618_S165_L004_R2_001.fastq.gz	6176633.72	6206039.745
22N04619	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04619	22N04619-22N04619-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04619_S166_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04619_S166_L004_R2_001.fastq.gz	5455992.502	5553300.321
22N04620	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04620	22N04620-22N04620-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04620_S167_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04620_S167_L004_R2_001.fastq.gz	6387909.644	6526714.518
22N04621	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04621	22N04621-22N04621-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04621_S168_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04621_S168_L004_R2_001.fastq.gz	4643462.507	4575897.124
22N04622	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04622	22N04622-22N04622-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04622_S169_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04622_S169_L004_R2_001.fastq.gz	6175143.677	6368892.649
22N04624	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04624	22N04624-22N04624-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04624_S170_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04624_S170_L004_R2_001.fastq.gz	5904607.566	5964351.386
22N04625	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04625	22N04625-22N04625-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04625_S171_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04625_S171_L004_R2_001.fastq.gz	6189762.811	6300310.975
22N04627	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04627	22N04627-22N04627-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04627_S172_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04627_S172_L004_R2_001.fastq.gz	6873704.47	7028260.471
22N04630	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04630	22N04630-22N04630-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04630_S173_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04630_S173_L004_R2_001.fastq.gz	5912816.531	6147855.204
22N04632	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04632	22N04632-22N04632-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04632_S174_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04632_S174_L004_R2_001.fastq.gz	4990066.325	5095029.39
22N04633	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04633	22N04633-22N04633-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04633_S175_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04633_S175_L004_R2_001.fastq.gz	5488344.49	5805790.385
22N04634	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04634	22N04634-22N04634-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04634_S176_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04634_S176_L004_R2_001.fastq.gz	5132353.55	5221218.924
22N04635	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04635	22N04635-22N04635-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04635_S177_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04635_S177_L004_R2_001.fastq.gz	6684856.243	6985116.385
22N04636	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04636	22N04636-22N04636-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04636_S178_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04636_S178_L004_R2_001.fastq.gz	6392209.383	6691887.908
22N04639	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04639	22N04639-22N04639-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04639_S179_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04639_S179_L004_R2_001.fastq.gz	5919159.046	6117188.786
22N04641	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04641	22N04641-22N04641-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04641_S180_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04641_S180_L004_R2_001.fastq.gz	5040631.865	5229363.118
22N04643	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04643	22N04643-22N04643-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04643_S181_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04643_S181_L004_R2_001.fastq.gz	4371871.573	4524846.47
22N04652	1	Plate4	H7FMMDSXC	ILLUMINA	4	22N04652	22N04652-22N04652-Plate4	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04652_S182_L004_R1_001.fastq.gz	data/fastqs/LCWG_Novoseq_LOSH_Plate4_Indiana/22N04652_S182_L004_R2_001.fastq.gz	5511316.557	5787693.994
