id	scatter_idx	chrom	start	end	scatter_length
ScTjWWh_129-HRSCAF-223	scat_0001	ScTjWWh_129-HRSCAF-223	1	4033094	4033094
ScTjWWh_129-HRSCAF-223	scat_0002	ScTjWWh_129-HRSCAF-223	4033095	8066188	4033094
ScTjWWh_129-HRSCAF-223	scat_0003	ScTjWWh_129-HRSCAF-223	8066189	12099282	4033094
ScTjWWh_129-HRSCAF-223	scat_0004	ScTjWWh_129-HRSCAF-223	12099283	16132376	4033094
ScTjWWh_149-HRSCAF-266	scat_0001	ScTjWWh_149-HRSCAF-266	1	4798100	4798100
ScTjWWh_149-HRSCAF-266	scat_0002	ScTjWWh_149-HRSCAF-266	4798101	9596200	4798100
ScTjWWh_149-HRSCAF-266	scat_0003	ScTjWWh_149-HRSCAF-266	9596201	14394300	4798100
ScTjWWh_149-HRSCAF-266	scat_0004	ScTjWWh_149-HRSCAF-266	14394301	19192400	4798100
ScTjWWh_149-HRSCAF-266	scat_0005	ScTjWWh_149-HRSCAF-266	19192401	23990500	4798100
ScTjWWh_149-HRSCAF-266	scat_0006	ScTjWWh_149-HRSCAF-266	23990501	28788600	4798100
ScTjWWh_149-HRSCAF-266	scat_0007	ScTjWWh_149-HRSCAF-266	28788601	33586700	4798100
ScTjWWh_149-HRSCAF-266	scat_0008	ScTjWWh_149-HRSCAF-266	33586701	38384800	4798100
ScTjWWh_149-HRSCAF-266	scat_0009	ScTjWWh_149-HRSCAF-266	38384801	43182900	4798100
ScTjWWh_149-HRSCAF-266	scat_0010	ScTjWWh_149-HRSCAF-266	43182901	47981000	4798100
ScTjWWh_149-HRSCAF-266	scat_0011	ScTjWWh_149-HRSCAF-266	47981001	52779100	4798100
ScTjWWh_149-HRSCAF-266	scat_0012	ScTjWWh_149-HRSCAF-266	52779101	57577200	4798100
ScTjWWh_149-HRSCAF-266	scat_0013	ScTjWWh_149-HRSCAF-266	57577201	62375300	4798100
ScTjWWh_149-HRSCAF-266	scat_0014	ScTjWWh_149-HRSCAF-266	62375301	67173400	4798100
ScTjWWh_149-HRSCAF-266	scat_0015	ScTjWWh_149-HRSCAF-266	67173401	71971492	4798092
ScTjWWh_294-HRSCAF-508	scat_0001	ScTjWWh_294-HRSCAF-508	1	4547912	4547912
ScTjWWh_294-HRSCAF-508	scat_0002	ScTjWWh_294-HRSCAF-508	4547913	9095824	4547912
ScTjWWh_294-HRSCAF-508	scat_0003	ScTjWWh_294-HRSCAF-508	9095825	13643736	4547912
ScTjWWh_294-HRSCAF-508	scat_0004	ScTjWWh_294-HRSCAF-508	13643737	18191646	4547910
ScTjWWh_376-HRSCAF-642	scat_0001	ScTjWWh_376-HRSCAF-642	1	3798895	3798895
ScTjWWh_376-HRSCAF-642	scat_0002	ScTjWWh_376-HRSCAF-642	3798896	7597790	3798895
ScTjWWh_376-HRSCAF-642	scat_0003	ScTjWWh_376-HRSCAF-642	7597791	11396685	3798895
ScTjWWh_683-HRSCAF-1114	scat_0001	ScTjWWh_683-HRSCAF-1114	1	4767558	4767558
ScTjWWh_683-HRSCAF-1114	scat_0002	ScTjWWh_683-HRSCAF-1114	4767559	9535116	4767558
ScTjWWh_683-HRSCAF-1114	scat_0003	ScTjWWh_683-HRSCAF-1114	9535117	14302674	4767558
ScTjWWh_683-HRSCAF-1114	scat_0004	ScTjWWh_683-HRSCAF-1114	14302675	19070232	4767558
ScTjWWh_683-HRSCAF-1114	scat_0005	ScTjWWh_683-HRSCAF-1114	19070233	23837790	4767558
ScTjWWh_683-HRSCAF-1114	scat_0006	ScTjWWh_683-HRSCAF-1114	23837791	28605348	4767558
ScTjWWh_683-HRSCAF-1114	scat_0007	ScTjWWh_683-HRSCAF-1114	28605349	33372906	4767558
ScTjWWh_683-HRSCAF-1114	scat_0008	ScTjWWh_683-HRSCAF-1114	33372907	38140464	4767558
ScTjWWh_683-HRSCAF-1114	scat_0009	ScTjWWh_683-HRSCAF-1114	38140465	42908022	4767558
ScTjWWh_683-HRSCAF-1114	scat_0010	ScTjWWh_683-HRSCAF-1114	42908023	47675580	4767558
ScTjWWh_683-HRSCAF-1114	scat_0011	ScTjWWh_683-HRSCAF-1114	47675581	52443138	4767558
ScTjWWh_683-HRSCAF-1114	scat_0012	ScTjWWh_683-HRSCAF-1114	52443139	57210696	4767558
ScTjWWh_683-HRSCAF-1114	scat_0013	ScTjWWh_683-HRSCAF-1114	57210697	61978251	4767555
ScTjWWh_720-HRSCAF-1163	scat_0001	ScTjWWh_720-HRSCAF-1163	1	4922441	4922441
